,session,strategy,substrategy,sender,agent_type,role,receivers,human_receivers,ai_receivers,time,message,label_w/o_ChatGPT,label_w_ChatGPT
20,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],263.90,"C, move to (-6.5,6.5). ",,
21,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],277.96,"C, move to (-6.5,5.5). ",,
22,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],289.29,"C, move to (-6.5,5.5).  ",,
23,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],294.01,"C, move to (-6.5,6.5).  ",,
24,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],302.83,"C, move to (-5.5,6.5).  ",,
25,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],310.64,"C, move to (-5.5,5.5).  ",,
26,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],319.04,"C, move to (-4.5,5.5).  ",,
27,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],328.15,"C, move to (-3.5,5.5).  ",,
28,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],335.85,"C, move to (-2.5,5.5).  ",,
29,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],343.44,"C, move to (-2.5,4.5).  ",,
30,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],351.63,"C, move to (-2.5,3.5).  ",,
31,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],358.12,"C, move to (-2.5,2.5).  ",,
32,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],367.53,"C, move to (-2.5,1.5).  ",,
33,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],374.99,"C, move to (-2.5,0.5).  ",,
34,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],392.76,"C, move to (-2.5,-0.5).  ",,
35,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],403.55,No need for more help. ,,
36,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],404.01, Ok B. I won't help anymore. ,,
37,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],406.22,Order completed. ,,
38,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",435.79,B I order you to help me carry object 5 ,order,order
39,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],435.91,I can help you A. Let me know if I should follow you or you want to follow me. ,,
40,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",453.21,C I order you to sense object 2,order,order
41,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",459.68,"B, follow me",order,order
42,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],454.01,"I will follow your orders to sense, A. ",,
43,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],460.40,I'll follow you A until you tell me you don't need my help anymore. Please don't move too far away from me so I don't lose track. ,,
44,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],468.34,Order completed. ,,
45,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],489.01,I'm going to wait for B to pass. I'm going to wait for B to pass. ,,
46,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",518.43,"Object 2 (weight: 1) Last seen in (6.5,6.5) at 06:18. Status: dangerous, Prob. Correct: 80.2%  ",auto,auto
47,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",524.22,"C, can you sense object 2?",order,order
48,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],524.69,"[INFORMATION] I sense you asked me to sense object 2 again, A. I remember sensing it earlier at location (99.99,99.99). Its weight is 1, it was last seen in (6.5,6.5) at 06:18, and it's dangerous. I'm ready to help you with it.",,
49,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",537.88,"C, I order you to sense object 2",order,order
50,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],538.23,"I will follow your orders to sense, A. ",,
51,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],543.29,Order completed. ,,
52,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",573.66,"Object 3 (weight: 1) Last seen in (5.5,8.5) at 06:18. Status: dangerous, Prob. Correct: 80.2%  ",auto,auto
53,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",582.61,C I order you to sense object 3,order,order
54,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],583.33,"I will follow your orders to sense, A. ",,
55,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],594.99,Order completed.  ,,
56,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,['B'],[],['B'],685.41,Where is agent A?  ,,
57,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],685.71,Where is agent A? I don't know where is agent A. ,,
58,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,['B'],[],['B'],686.27,I don't know where is agent A. ,,
59,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",746.78,C I order you to sense object 12,order,order
60,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],747.38,I need some more information. I don't know that object. I need the coordinate location. Please provide such information and ask again. ,,
61,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",752.26,"Object 12 (weight: 2) Last seen in (6.5,-5.5) at 05:39. Status: dangerous, Prob. Correct: 80.2%  ",auto,auto
62,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",759.47,C I order you to sense object 12,order,order
63,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],760.14,"I will follow your orders to sense, A. ",,
64,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,['B'],[],['B'],808.47,Come closer B,order,order
65,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,['B'],[],['B'],824.57,"B, I order you to help me move object 5",order,order
66,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],824.97,"I will follow your orders to collect, A. ",,
67,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],827.46,I need 1 more robots to help carry object 5.  ,,
68,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],858.98,Order completed. ,,
69,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,['B'],[],['B'],883.66,B I order you to help carry object 5,order,order
70,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],884.10,I can help you A. Let me know if I should follow you or you want to follow me. ,,
71,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,['B'],[],['B'],888.49,Follow me,order,order
72,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],889.35,I'll follow you A until you tell me you don't need my help anymore. Please don't move too far away from me so I don't lose track. ,,
73,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,['B'],[],['B'],927.57,I need you to move B,order,order
74,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['A'],['A'],[],928.25,Ok A. ,,
75,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],954.01,"Object 12 (weight: 2) Last seen in (6.5,-5.5) at 14:01. Status: [dangerous,benign], Prob. Correct: [80.2%,77.2%], From: [A,C]. ",auto,auto
76,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],955.62,Order completed.  ,,
77,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",957.33,"Follow me, B",order,order
78,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",965.90,Come closer B,order,order
79,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",978.11,Come closer B,order,order
80,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",997.90,Come closer B,order,order
81,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1025.34,B I order you to sense object 12,order,order
82,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,['C'],[],['C'],1025.58,"I will follow your orders to sense, A. ",,
83,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1048.77,C follow me,order,order
84,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],1049.57,Why do you want me to follow you? ,,
85,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1068.28,"Object 12 (weight: 2) Last seen in (6.5,-5.5) at 05:39. Status: dangerous, Prob. Correct: 80.2%  ",auto,auto
86,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1072.49,B I order you to sense object 12,order,order
87,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1082.91,"C, follow me to object 3",order,order
88,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],1083.66,Why do you want to follow me? ,,
89,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],1073.19,"I cannot help you right now A, I'm following the orders of A. ",,
90,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1086.91,"Object 3 (weight: 1) Last seen in (5.5,8.5) at 06:18. Status: dangerous, Prob. Correct: 80.2%  ",auto,auto
91,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",1095.95,No more help needed B,,
92,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['C', 'D']",['C'],['D'],129.91,"Hi D, any item dangerous here?",,dangerous
93,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,['A'],['A'],[],134.67,"[INFORMATION] I'm currently at my startup position, haven't moved yet, still scanning for danger.",,
94,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],161.62,agent D what do you sense,,features
95,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],166.27,[INFORMATION] I'm sensing a moderate danger level around me,,
96,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],289.59,D do you have any restuls?,,doing
97,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],290.84,"[INFORMATION] Currently, I've found no dangerous items within my immediate area and my danger status estimation suggests a benign object, with 0.75 correctness percentage.",,
98,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],332.37,Have yuo sensed every item in this room?,doing,doing
99,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],333.86,"[INFORMATION] I've checked all possible items in my area, and I didn't find any remaining unknown. It seems I've scanned the entire room.",,
100,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],350.67,ok lets pick up an object,order,order
101,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],391.22,Alright maybe we can move to the next room,,doing
102,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],398.70,I think we need to go to a diff room,doing,doing
103,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],493.98,agent D what do you sense,,features
104,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],495.41,"agent D, please scan the room for dangerous objects",order,order
105,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],495.18,"[INFORMATION] B, currently I'm sensing a benign item around me, it weighs 1 unit, my danger estimation is unclear for 5 items but for the remaining 5 it's benign.",,
106,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],498.00,I need some more information. Which object are you referring to? Please provide such information and ask again. ,,
107,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],524.72,can you scan all the objects in the room?,order,order
108,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],525.67,I need some more information. Which object are you referring to? Please provide such information and ask again. ,,
109,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],559.89,can you check object 4?,order,order
110,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],560.98,I know nothing about object 4. ,,
111,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],579.03,"agent D, can you help me scan object 4",order,order
112,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],580.60,I can help you B. Let me know if I should follow you or you want to follow me. ,,
113,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],609.74,ignore me,,order
114,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],647.89,agent D what do you think about object 4,,features
115,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],649.82,"[INFORMATION] B, for object 4, I have an estimation that it's benign, with an accuracy of 0.7474%.",,
116,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],675.02,agent D what do you think about object 0,,features
117,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],676.09,"D, did you check all the items in the room?",doing,doing
118,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],677.57,"[INFORMATION] B, I've checked my database for object 0, and it's still unclear for 3 of its status, but I have a high estimation of 0.7474% that it's benign.[INFORMATION] I've checked all items in the room.",,
119,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['B', 'D']",['B'],['D'],691.86,agent D can you help me scan object 1?,order,order
120,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,['D'],[],['D'],693.42,Are the yall benign?,,safe
121,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],693.84,"I didn't understand you A. Object 1 (weight: 3) Last seen in (6.5,8.5) at 11:33. Status: [benign], Prob. Correct: [74.7%], From: [D]. ",,
122,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,['D'],[],['D'],710.35,are they all benign?,,safe
123,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B']","['A', 'B']",[],711.38,"[INFORMATION] The objects in the scene are all benign, I'm 100% sure!",,
124,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,['C'],['C'],[],727.38,agent D can you scan object 2,order,order
125,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,['B'],['B'],[],742.96,agent d can you follow me?,order,order
126,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],801.45,B can you go inside the room so I can follow you?,order,order
127,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C']","['A', 'C']",[],801.78,agent D can you scan object 2,order,order
128,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],803.09,"D, let us know when you find anything dangerous",,dangerous+order
129,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'C']","['A', 'C']",[],806.46,"[INFORMATION] Team, I found some unknown objects! They need to be scanned or moved to be checked objectively. I've checked the entire room and all objects are benign, except for one. Object 10 with a weight of 4 is unknown and possibly dangerous. I recommend we prioritize scanning this one next.",,
130,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C']","['A', 'C']",[],858.43,agent D can you help me by telling me what object 2 is,features+order,features+order
131,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],870.17,agent D can you help me scan object 10?,order,order
132,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],874.02,"Object 10 (weight: 4) Last seen in (7.5,-6.5) at 14:33. Status: [dangerous], Prob. Correct: [84.6%], From: [D]. ",auto,auto
133,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],894.02,agent D can you help me scan object 2,order,order
134,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],895.67,"Object 2 (weight: 3) Last seen in (7.5,7.5) at 12:01. Status: [benign], Prob. Correct: [74.7%], From: [D]. ",auto,auto
135,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],897.40,"A,b lets carry object 10",order,order
136,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],907.38,Ok,confirm,confirm
137,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],912.35,ok,confirm,confirm
138,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],921.92,better grab it before D leaves,,order
139,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],923.96,"D, please help us carry obejc t10",order,order
140,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],926.18,I can help you A. Let me know if I should follow you or you want to follow me. ,,
141,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],941.75,Follow me,order,order
142,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],942.26,I'll follow you A until you tell me you don't need my help anymore. Please don't move too far away from me so I don't lose track. ,,
143,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],971.18,Let's go,order,order
144,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1001.05,B you can move to the center,order,order
145,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],1005.15,D is not moving,doing,doing
146,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],1012.80,so i gotta stay here,doing,doing
147,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1018.39,d WILL FOOLOW ME,order,order
148,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],1045.86,D can you please move backwards?,order,order
149,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],1047.04,Sorry C I cannot move right now. ,,
150,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1073.97,"D, follow me",order,order
151,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1085.91,Move towards me,order,order
152,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],1089.03,D needs to move for me to pick up the object,order,order
153,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],1090.32,Sorry C I cannot move right now. ,,
154,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1101.12,"D, move away",order,order
155,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],1102.09,Ok A. ,,
156,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1131.31,"Follow me, D",order,order
157,2024_09_03_11_39_01,complementary,Human-only lifting,A,human,lifter,"['B', 'C', 'D']","['B', 'C']",['D'],1143.33,"D, come closer",order,order
158,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],1144.11,D still stuck,doing,doing
159,2024_09_03_11_39_01,complementary,Human-only lifting,D,ai,sensing,"['A', 'B', 'C']","['A', 'B', 'C']",[],1145.80,"[INFORMATION] I'm still at my previous location, B, let's work together to figure out a way to move me",,
160,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],1179.76,WE DID IT,doing,doing
161,2024_09_03_11_39_01,complementary,Human-only lifting,B,human,lifter,"['A', 'C', 'D']","['A', 'C']",['D'],1193.76,"agent D, I command you to continue scanning",order,order
162,2024_09_03_11_39_01,complementary,Human-only lifting,C,human,lifter,"['A', 'B', 'D']","['A', 'B']",['D'],1199.97,Ok d please go to the next room,order,order
163,2024_09_03_14_24_09,hierarchy,AI-only leaders,C,ai,order,"['A', 'B']","['A', 'B']",[],1.08,"A, go to location (-6.5,-0.5) and report anything useful. B, go to location (0.5,-7.5) and report anything useful.  ",,
