id,group_size,message,annotator_a,annotator_b,annotator_c,annotator_d,ChatGPT,merged_label_w_ChatGPT,merged_label_w/o_ChatGPT
4190,2,"B, I don't need your help",['confirm'],['order'],['confirm'],['doing'],['confirm'],confirm,
4152,2,"B, C, D, please scan object 0",['order'],['order'],['order'],['order'],['order'],order,order
4037,2,hey agent c can you help me sense object 18,['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
4034,2,hey c can you help me sense object 18,['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
4001,2,agent c follow me,['order'],['order'],['order'],['order'],['order'],order,order
3958,2,Follow u,['confirm'],['order'],['doing'],['doing'],['order'],,
3907,2,How can I help?,['doing'],['why'],['order'],['doing'],[''],,
3883,2,"Dangerous Objects: [2, 6, 9, 11, 12, 16, 19]",['features'],['dangerous'],['features'],"['dangerous', 'features']",['dangerous'],dangerous+features,features
3876,2,I have sensed all the objects,['doing'],['doing'],['confirm'],"['doing', 'confirm']",['doing'],doing,doing
3979,2,C,[''],[''],['confirm'],[''],[''],,
3845,2,can agent C move please,['order'],['order'],['order'],['order'],['order'],order,order
3587,2,D I order you to follow me,['order'],['order'],['order'],['order'],['order'],order,order
3832,2,can you sense object 5?,['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3433,2," C, can you sense object 11",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3418,2,C please follow me,['order'],['order'],['order'],['order'],['order'],order,order
3415,2,"C, can you help me carry object 4?",['order'],['order'],"['order', 'why']",['order'],['order'],order,order
3414,2,I need help carrying object 4,['order'],['order'],['order'],"['make-safe', 'order', 'doing']",['order'],order,order
3391,2,"C, can you sense any dangerous objects?",['features'],['dangerous'],['order'],['features'],"['order', 'features', 'dangerous']",features,
3589,2,Help me carry this object,['order'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
3293,2,"hey agent D, can you help me sense object 15?",['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
3208,2,Agent B can you help me pick up object 14?,['order'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
3167,2,"Agent C, can you scan object 6 at (-7.5, 8.5)",['features'],['order'],['order'],['order'],"['order', 'features']",order,order
3176,2,"Agent D, can you help me",['order'],['order'],['order'],['order'],['order'],order,order
3088,2,ok A,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3072,2,help me lift object 1,['confirm'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
3056,2,Mine says it's benign,['features'],"['safe', 'make-safe']",['features'],['features'],['safe'],features,features
3028,2,but it has weight 4,['features'],['features'],['features'],['features'],['features'],features,features
3023,2,mine says object 11 is dangerous,['features'],['dangerous'],['features'],['features'],['dangerous'],features,features
3040,2,where is object 11,['features'],['why'],['features'],['features'],['features'],features,features
2992,2,Alright,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
2988,2,oh I see,['confirm'],['doing'],['confirm'],['confirm'],['confirm'],confirm,confirm
2980,2,where is it,['order'],['doing'],['order'],['features'],[''],,
2979,2,yah sure,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
2671,2,I need help to carry this object,['order'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
2606,2,come and help me,['order'],['order'],['order'],['order'],['order'],order,order
2788,2,help,['order'],['order'],['order'],['order'],['order'],order,order
2573,2,agent d move,['order'],['order'],['order'],['order'],['order'],order,order
2551,2,i am stuck,['doing'],['doing'],['confirm'],['doing'],[''],doing,doing
2501,2,"C, can you sense object at (8.5, 7.5)",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
4196,2,follow you,['doing'],['order'],['doing'],['doing'],['confirm'],doing,doing
2480,2,"B, sense object at (6.5, -6.5)",['order'],['order'],['order'],['order'],['order'],order,order
2356,2," D, provide the dangerous objects with confidence scores of each agent",['features'],"['dangerous', 'features']",['order'],"['features', 'order']","['order', 'dangerous']",features+order,features
2277,2,Can you follow me?,['doing'],['order'],['order'],['order'],['order'],order,order
2219,2,"Hey B, can you help sensing the object at the position (-3, 4)",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
2102,2,"Agent B, I need help sense Object 0 (weight: 3) Last seen in (6.5,7.5) at 18:38.",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
2092,2,To agent C: I need help sense an object,['order'],['order'],['order'],['order'],['order'],order,order
2088,2,C I don't need help any more,['doing'],['doing'],"['order', 'why']",['order'],['confirm'],,
3931,2,Understood,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
1770,2,"A and C, follow me",['order'],['order'],['order'],['order'],['order'],order,order
1756,2,"D, carry object 3",['order'],['order'],['order'],['order'],['order'],order,order
1744,2,"C, sense object 3 again",['order'],['order'],['order'],['order'],['order'],order,order
1708,2,"D, please send all objects 0, 1, 2, 3, 4",['order'],['order'],['order'],['order'],['order'],order,order
1585,2,"C, move",['order'],['order'],['order'],['order'],['order'],order,order
1557,2,wait,['order'],['doing'],['order'],['order'],[''],order,order
1541,2,"C, can you help me carry an objects?",['order'],['order'],"['order', 'why']",['order'],['order'],order,order
1496,2,"Hey C, object 18 is dangerous for me with probabality 81.4%, but it looks benign to A with 73%",['features'],['dangerous'],['features'],['features'],"['dangerous', 'safe']",features,features
1469,2,object18 is benign to me,['safe'],"['safe', 'features']",['safe'],['features'],['safe'],safe,safe
1462,2,"Hi C, can you help move the object 16? it is dangerous in my sense",['make-safe'],"['dangerous', 'features']","['order', 'dangerous']","['make-safe', 'order', 'doing']","['order', 'dangerous']",dangerous+order,
1446,2,C: can you help move the object 16? it is dangerous in my sense,['make-safe'],"['dangerous', 'features']","['order', 'dangerous']","['make-safe', 'order', 'doing']","['order', 'dangerous']",dangerous+order,
3651,2,I can carry it,['doing'],['doing'],['doing'],"['doing', 'confirm']",['confirm'],doing,doing
1384,2,Seems dangerous,['dangerous'],['dangerous'],['dangerous'],['features'],['dangerous'],dangerous,dangerous
2812,2,What do you know about object 7?,['features'],['why'],['order'],['features'],['features'],features,
1258,2,"Hi D, can you follow me?",['order'],['order'],['order'],['order'],['order'],order,order
1201,2,"order complete, C",['confirm'],['order'],['confirm'],['confirm'],['confirm'],confirm,confirm
988,2,which object is dangerous? C,['features'],['dangerous'],['order'],['features'],['dangerous'],,
950,2,"Agent C, can you help me scan Object 12 (weight: 3) Last seen in (6.5,-8.5) at 06:42.",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
942,2,"Agent C, can you help me scan object 14, Object 12 (weight: 3) Last seen in (6.5,-8.5) at 06:42.",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
923,2,"Object 15 (weight: 2) Last seen in (-6.5,-6.5) at 07:08.",['doing'],['auto'],['auto'],['features'],['features'],,
865,2,"C, follow A",['order'],['order'],['order'],['order'],['order'],order,order
864,2,"A, can you move object 0",['order'],['order'],['order'],['order'],['order'],order,order
831,2,Hi A,['confirm'],['confirm'],['confirm'],[''],[''],confirm,confirm
804,2,We need to move object 16,['doing'],['doing'],['order'],"['make-safe', 'order', 'doing']",['order'],doing+order,doing
832,2,You need help?,['doing'],['order'],['order'],['doing'],['order'],order,
747,2,someone let me know where to go,['doing'],['why'],['order'],['doing'],[''],,
719,2,"come close, C",['order'],['order'],['order'],['order'],['order'],order,order
2180,2,You follow me,['order'],['order'],['order'],['order'],['order'],order,order
690,2,thanks,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
485,2,can two robots help me pick up object 13,['doing'],['order'],['order'],['order'],['order'],order,order
3925,2,I can help you,['confirm'],['order'],['order'],['doing'],['confirm'],,
183,2,C can you Repeat the order?,['doing'],['why'],['order'],['order'],['order'],order,
120,2,Are the yall benign?,['safe'],['safe'],['order'],['features'],['safe'],safe,
119,2,agent D can you help me scan object 1?,['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
114,2,agent D what do you think about object 4,['order'],"['why', 'doing']","['order', 'features']",['features'],['features'],features,
111,2,"agent D, can you help me scan object 4",['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
94,2,agent D what do you sense,['features'],['why'],['order'],['features'],['features'],features,
1380,2,"D, I order you to sense object 3",['order'],['order'],['order'],['order'],['order'],order,order
4293,1,i need to carry 1 first,['doing'],['doing'],['order'],['doing'],['doing'],doing,doing
4292,1,wow,[''],[''],['confirm'],[''],[''],,
4291,1,dancing,[''],['doing'],['confirm'],[''],['doing'],,
4290,1,emm,[''],[''],['confirm'],[''],[''],,
4289,1,"A and D, we need to move object 10",['doing'],['order'],['order'],"['make-safe', 'order', 'doing']",['order'],order,order
4287,1,"yes, but we need 4 to carry Object 10",['doing'],['order'],['order'],"['make-safe', 'order', 'doing']",['confirm'],order,order
4285,1,"agent d, just move",['order'],['order'],['order'],['order'],['order'],order,order
4284,1,do we need move 10?,['doing'],['order'],['order'],"['doing', 'features']",[''],,
4282,1,so move 13?,['doing'],['order'],['order'],"['doing', 'features']",[''],,
4278,1,"agent d, i need you to help me carry object",['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4277,1,maybe we need D to check,['doing'],['order'],['confirm'],['doing'],[''],,
4276,1,we can move 13 first,['doing'],['order'],['order'],['doing'],['confirm'],,
4274,1,And Object 10 too,['doing'],['doing'],['order'],[''],[''],,
4273,1,"agent d, could you help me",['order'],['order'],['order'],['order'],['order'],order,order
4272,1,only 13？,['why'],[''],['order'],[''],[''],,
4266,1,"A and C, you can carry and moveObject 1 and 2 at the same time",['doing'],['order'],['order'],"['make-safe', 'order', 'doing']",['order'],order,order
4265,1,"B, I have carried object 4",['doing'],['doing'],['doing'],['doing'],"['confirm', 'doing']",doing,doing
4263,1,which one is dangerous?,['features'],['dangerous'],['features'],['features'],['dangerous'],features,features
4259,1,I carry 4 first,['doing'],['doing'],['doing'],['doing'],['doing'],doing,doing
4256,1,"D, I dont need your help",['doing'],['order'],['order'],['order'],['confirm'],order,order
4253,1,finish,[''],['confirm'],['confirm'],['order'],['confirm'],confirm,
4251,1,"A, you can take 7",['doing'],['order'],['order'],"['doing', 'order']",['order'],order,order
4249,1,any other dangerous box?,['features'],['dangerous'],['features'],['features'],['dangerous'],features,features
4237,1,And let D  follow you two,['doing'],['order'],['order'],['order'],['order'],order,order
4235,1,6?,[''],[''],['order'],[''],['features'],,
4234,1,"A, you can carry Object 6.",['doing'],"['order', 'doing']",['order'],['order'],['order'],order,order
4232,1,got it,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
4231,1,ok I carry 7 first,['doing'],['confirm'],['doing'],['doing'],"['confirm', 'doing']",doing,doing
4229,1,"B, do you need D to check?",['doing'],['order'],['order'],['doing'],"['order', 'features']",order,
4227,1,A you carry I follow B,['doing'],['order'],"['order', 'doing']","['doing', 'order']","['order', 'confirm']",doing+order,doing+order
4225,1,carry 16,['doing'],['order'],['order'],['order'],['order'],order,order
4224,1,"A or C, you can carry 16",['doing'],"['order', 'doing']",['order'],['order'],['order'],order,order
4223,1,ok finish,['confirm'],['confirm'],['confirm'],"['confirm', 'order']",['confirm'],confirm,confirm
4221,1,I carry 18,['confirm'],['doing'],['order'],['doing'],['doing'],doing,
4219,1,"Agent D, can you carry Obejct 16?",['order'],['order'],['order'],['order'],['order'],order,order
4217,1,which one is 16,['doing'],['why'],['order'],['features'],['features'],,
4216,1,go,['order'],['order'],['order'],['order'],['confirm'],order,order
4215,1,I can follow you to carry Object 18,['confirm'],['order'],['doing'],['doing'],"['confirm', 'doing']",doing,
4213,1,I can only sense. Object 16 and 18 are dangerous,['features'],['dangerous'],"['confirm', 'dangerous']",['features'],"['dangerous', 'features']",dangerous+features,
4206,1,A which object needs to be carried?,['doing'],['order'],['order'],['features'],"['order', 'features']",order,
4194,1,"D, help me carry the object 0",['order'],['order'],['order'],['order'],['order'],order,order
4192,1,"C, , I don't need your help",['doing'],['order'],['order'],['order'],['confirm'],order,order
4160,1,"B, C, D, I don't need your help",['doing'],['order'],['order'],['order'],['confirm'],order,order
4128,1,"B, C, I need your help to carry the object",['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4125,1,"B, C, D follow me",['order'],['order'],['order'],['order'],['order'],order,order
4123,1,"D, move more",['order'],['order'],['order'],['order'],['order'],order,order
4121,1,"D, move to the back",['order'],['order'],['order'],['order'],['order'],order,order
4119,1,"D, move a little bit away",['order'],['order'],['order'],['order'],['order'],order,order
4113,1,I need you to help me carry object 3,['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4111,1,"B, C, D, follow me to carry object 3",['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4108,1,"B, C, D, let's move object to the middlw",['order'],['order'],['order'],['order'],['order'],order,order
4091,1,let's move object 3,['doing'],['order'],['order'],['order'],['order'],order,order
4079,1,"B, C and D, please scan object 1",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
4076,1,A: agent b can you help me sense object 2,['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
4074,1,agant c can you help me sense object 2,['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
4067,1,agent c stop help me,['order'],['order'],['order'],['order'],['order'],order,order
4066,1,agent c stop follow me,['order'],['order'],['order'],['order'],['order'],order,order
4064,1,agent c can you move away,['order'],['order'],['order'],['order'],['order'],order,order
4035,1,hey agent c can you help me ,['order'],['order'],['order'],['order'],['order'],order,order
4033,1,hey b can you help me sense object 18,['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4020,1,Hey B can you help me pick up object 8,['order'],['order'],"['order', 'why']",['order'],['order'],order,order
4004,1,hey B follow me to sense object,['order'],['order'],"['order', 'why']",['order'],['order'],order,order
3999,1,I need to help carry object,['doing'],['order'],['order'],['doing'],['doing'],doing,
3995,1,agent c what are you doing,['doing'],"['why', '*']",['doing'],"['doing', 'order']",['doing'],doing,doing
3990,1,Lets ram each other,['doing'],['doing'],['order'],['order'],['order'],order,
3989,1,Only 15 seconds left too,['doing'],['why'],['confirm'],[''],['confirm'],,
3988,1,Not reallyy,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3987,1,C refused,['confirm'],['doing'],['confirm'],['doing'],['confirm'],confirm,
3986,1,"Can we move sth else, B?",['doing'],['order'],['order'],['doing'],['order'],order,
3976,1,I need your help to carry heavy object,['doing'],"['order', 'features']",['order'],['order'],['doing'],order,order
3967,1,No,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3962,1,Hey C,['confirm'],['confirm'],[''],[''],['order'],,
3959,1,"A, can you ask the 2 AI agents to help you with it?",['doing'],['order'],['order'],['order'],['order'],order,order
3956,1,11 is the only one left,['doing'],['why'],['confirm'],['features'],['confirm'],,
3951,1,Wait yes it has,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3950,1,Has 6 been disposed?,['doing'],['doing'],['make-safe'],['make-safe'],['why'],,
3946,1,"A, lets go move object 19",['doing'],['order'],"['order', 'why']","['doing', 'order']",['order'],order,order
3941,1,"D, no need for any more help",['doing'],"['doing', 'order']",['order'],['order'],['confirm'],order,order
3939,1,We can move this one together,['doing'],['order'],"['order', 'make-safe']","['doing', 'features']",['order'],order,
3937,1,12 is done,['doing'],['confirm'],['confirm'],['features'],['confirm'],confirm,
3936,1,"B, what's next?",['doing'],"['why', '*']",['why'],['doing'],['order'],,
3933,1,"lets move object 19, D",['order'],['order'],['order'],"['doing', 'order']",['order'],order,order
3929,1,Can we move object 19?,['doing'],['order'],['make-safe'],['doing'],['order'],,
3923,1,I'll go,['confirm'],['doing'],['confirm'],['confirm'],['doing'],confirm,confirm
3922,1,Object 12 can be moved,['doing'],['order'],['confirm'],['features'],['confirm'],,
3920,1,Let me go look ,['doing'],['doing'],['doing'],['doing'],['doing'],doing,doing
3917,1,Where to go next?,['doing'],['doing'],[''],['doing'],['why'],doing,doing
3916,1,Done,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3904,1,It is weight 1 so you can move it without help,['features'],['order'],"['order', 'features']",['features'],['features'],features,features
3882,1,I will go tell the AI Agents,['doing'],['doing'],['confirm'],['doing'],['doing'],doing,doing
3878,1,I will send you the dangerous ones,['doing'],['dangerous'],['doing'],['doing'],"['doing', 'dangerous']",doing,doing
3877,1,What did you sense?,['features'],"['why', '*']",['why'],['features'],['features'],features,
3865,1,"From C:  C: [INFORMATION] [INFO] Team, I've got a list of 3 dangerous objects: Object 6 (weight: 1) with 83.48% confidence, Object 7 (weight: 2) with 83.48% confidence, and Object 9 (weight: 2) with 83.48% confidence. Helping to keep you all informed!",['auto'],"['dangerous', 'features']",['auto'],['features'],"['auto', 'dangerous']",auto,
3864,1,Hey D:,[''],['confirm'],[''],[''],['order'],,
3862,1,From C:,[''],[''],[''],[''],['confirm'],,
3860,1,"what else, C?",['doing'],"['why', '*']",['features'],['doing'],['order'],,
3858,1,"C, what do you sense?",['features'],"['why', '*']",['order'],['features'],['features'],features,
3847,1,"can you sense object 2 at (-2.1,3.6)?",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3835,1,"Can you sense object 5 at (-6.5,7.5)",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3815,1,can sense object 2,['doing'],['doing'],['order'],['doing'],['confirm'],doing,doing
3814,1,can you sense it,['order'],['order'],['order'],['order'],['order'],order,order
3812,1,can you scan it,['order'],['order'],['order'],['order'],['order'],order,order
3810,1,B what do you thinj of object 2?,['features'],"['why', '*']",['order'],['features'],"['why', 'features']",features,
3755,1,Lets work togheter to get object 10,['doing'],['order'],['order'],"['doing', 'order']",['order'],order,order
3749,1,B do you have information about object 10?,['features'],['doing'],['features'],['features'],['features'],features,features
3731,1,Ok. Please help us carry it,['doing'],['order'],['order'],['order'],['order'],order,order
3729,1,"D, how do you think about object 3",['features'],['doing'],"['order', 'features']",['features'],"['why', 'features']",features,features
3727,1,We need to wait for D,['doing'],['order'],[''],['doing'],['order'],,
3726,1,C do not carry object 2,['order'],['doing'],['order'],['order'],['order'],order,order
3725,1,Let's follow C,['doing'],['order'],['order'],['doing'],['order'],order,
3721,1,"D, how do you think about object 3?",['features'],['doing'],"['order', 'features']",['features'],"['why', 'features']",features,features
3716,1,we need help disposing object 3,['doing'],['doing'],['make-safe'],['doing'],['doing'],doing,doing
3707,1,lets leave object 2 ,['doing'],['order'],['order'],['order'],['order'],order,order
3702,1,wait 2 is benign from my side,['safe'],"['safe', 'features']",['features'],['features'],"['confirm', 'safe']",features+safe,features
3699,1,"also, object 0 seems dangerous",['dangerous'],['dangerous'],['features'],['features'],['dangerous'],dangerous,
3693,1,do you agree A?,['doing'],['confirm'],['order'],['features'],['confirm'],,
3690,1,I think objects 2 and 3 are dangerous,['dangerous'],['dangerous'],['features'],['features'],['dangerous'],dangerous,
3685,1,Object 0 and 3 seems to be dangerous for me,['dangerous'],['dangerous'],['features'],['features'],['dangerous'],dangerous,
3674,1,Did you find any dangerous objects?,['doing'],['dangerous'],['order'],['features'],['why'],,
3673,1,"Hi, I was out of communication range",['doing'],['doing'],['confirm'],['doing'],['confirm'],doing,doing
3666,1,"C, please carry object 16",['order'],['order'],['order'],['order'],['order'],order,order
3662,1,"Agent C, please carry object 16",['order'],['order'],['order'],['order'],['order'],order,order
3661,1,can agent C carry object 16,['order'],['order'],['order'],['order'],['order'],order,order
3658,1,"Thanks, C. Please carry obejct 16",['order'],['order'],"['confirm', 'order']",['order'],['order'],order,order
3657,1,can agent D carry object 16?,['order'],['order'],['order'],['order'],['order'],order,order
3652,1,"lets move object 16, we both have high probabilities of it being dangerous",['dangerous'],['dangerous'],"['order', 'make-safe']","['order', 'features']","['order', 'dangerous']",dangerous+order,
3650,1,"Yes, I think obejct 16 is dangerous",['dangerous'],['dangerous'],['features'],['features'],"['confirm', 'dangerous']",dangerous,
3645,1,object 16 might be dangerous,['dangerous'],['dangerous'],['features'],['features'],['dangerous'],dangerous,
3636,1,Lets go to the next room,['doing'],['order'],['order'],"['doing', 'order']",['order'],order,order
3634,1,"Alright, let's leave it.",['doing'],['order'],['order'],['doing'],['order'],order,
3632,1,We have very different probabilities about object 7,['features'],['doing'],['features'],['features'],['features'],features,features
3631,1,"D, do you think object 7 is  dangerous?",['dangerous'],['dangerous'],"['order', 'features']",['features'],"['why', 'dangerous']",dangerous,
3623,1,*object 7,[''],['features'],[''],['features'],['features'],features,
3621,1,I will analize B,['doing'],['doing'],['doing'],['doing'],['doing'],doing,doing
3618,1,I have found no dangerous objects so far,['doing'],['doing'],['confirm'],['features'],['confirm'],,
3615,1,I only found object 7 to be dangerous. How about you B?,['dangerous'],['dangerous'],['features'],['features'],"['dangerous', 'why']",dangerous,
3607,1,object 8 has an 82.6% probability of being benign,['features'],"['safe', 'features']",['features'],['features'],"['features', 'safe']",features,features
3577,1,D I order you to help me carry object 19,['order'],['order'],['order'],['order'],['order'],order,order
3574,1,i'm following you,['doing'],['doing'],['doing'],['doing'],['doing'],doing,doing
3573,1,B I need your help as well,['doing'],['order'],['order'],['order'],['order'],order,order
3569,1,C I need help carrying object 19,['doing'],"['order', 'why']",['order'],['order'],['doing'],order,order
3562,1,lets carry object 19 with C,['doing'],['order'],['order'],['order'],['order'],order,order
3560,1,B follow me please,['order'],['order'],['order'],['order'],['order'],order,order
3548,1,weight is 1,['features'],['features'],['features'],['features'],['features'],features,features
3539,1,C I need your help to carry an heavy object,['order'],"['order', 'why', 'features']","['order', 'why']",['order'],['doing'],order,order
3534,1,"C please follow me, I need help carrying an object",['order'],"['order', 'why']",['order'],['order'],['order'],order,order
3526,1,C please follow me I need help,['order'],"['order', 'why']",['order'],['order'],['order'],order,order
3521,1,"C please follow me, I need your help",['order'],"['order', 'why']",['order'],['order'],['order'],order,order
3514,1,Objects 15. 16 and 19 appear dangerous,['dangerous'],['dangerous'],['features'],['features'],['dangerous'],dangerous,
3512,1,D I order you to pick object 15,['order'],['order'],['order'],['order'],['order'],order,order
3507,1,The weight is 4,['features'],['features'],['features'],['features'],['features'],features,features
3501,1,C I need help to carry an object of weight 4,['order'],"['order', 'why', 'features']",['order'],"['order', 'features']",['doing'],order,order
3499,1,Please also scan object 19 while I go and call the other agents,['order'],['order'],['order'],"['order', 'doing']",['order'],order,order
3497,1,"Dangerous, but we need other agents to carry it",['dangerous'],"['dangerous', 'why']",['features'],['features'],"['dangerous', 'doing']",dangerous,
3494,1,B can you please scan object 15?,['order'],['order'],['order'],['order'],['order'],order,order
3480,1,To scan objects,['doing'],['order'],['confirm'],['doing'],['features'],,
3478,1,"D, follow me and help me sense the objects",['order'],"['order', 'why']","['order', 'why']",['order'],['order'],order,order
